keyword,probability,label
TR,0.99996924,1
CTR,0.99996924,1
ACM,0.99994385,1
other hand,0.9997328,1
total number,0.9996879,1
USA,0.9996736,1
international conference,0.9996693,1
IEEE,0.99963224,1
upper bound,0.99939275,1
lower bound,0.99939275,1
average number,0.9992931,1
data structures,0.9992418,1
virtual memory,0.9992366,1
main memory,0.999193,1
same time,0.99917644,1
large number,0.99917245,1
IO,0.999172,1
Related Work,0.99915385,1
high performance,0.99915385,1
Parallel algorithms,0.9925218,1
physical memory,0.9878868,1
data structure,0.9878868,1
Baltimore Maryland,0.9878868,1
execution time,0.9878868,1
relative performance,0.98653877,1
page size,0.98653877,1
critical path,0.9839208,1
international workshop,0.9819234,1
IEEEACM,0.9819234,1
system architecture,0.9819234,1
operating system,0.9819234,1
signal processing,0.9811504,1
large data,0.9808624,1
experimental results,0.9808624,1
CPU,0.9780586,1
many respects,0.9777995,1
UC,0.9768545,1
NY,0.9766648,1
Table Characteristics,0.9747498,1
constant number,0.96827,1
disk space,0.9670029,1
San Diego,0.96661615,1
international symposium,0.96349084,1
IP,0.9588586,1
Performance Evaluation,0.95706624,1
previous section,0.95428795,1
NSF,0.9536265,1
special case,0.008402971,0
many elements,0.00840296,0
main reason,0.0067501985,0
enough information,0.006750192,0
second part,0.0059018964,0
more detail,0.0059018964,0
following conditions,0.00590188,0
first part,0.00590188,0
following properties,0.00590188,0
most applications,0.00462104,0
Diego California,0.0046210354,0
performance improvements,0.004621029,0
priority queue,0.0046210224,0
priority queues,0.0046210224,0
queue size,0.0046210224,0
concrete example,0.004571142,0
memory block,0.0040102513,0
memory size,0.004010244,0
basic algorithm,0.004010232,0
new set,0.0031079843,0
power consumption,0.0031079843,0
increased number,0.0031079843,0
analysis tools,0.0031079815,0
simple example,0.0031079815,0
average cost,0.0031079815,0
OS,0.00310798,0
Data management,0.0031079785,0
Distributed Computing,0.0031079785,0
Simulation results,0.0031079785,0
DRAM,0.0031079785,0
system memory,0.0031079769,0
such systems,0.0031079769,0
significant portion,0.002932006,0
second level,0.0022474728,0
less memory,0.0022474718,0
wider range,0.0022474718,0
level parallelism,0.0022474718,0
shared memory,0.0022474695,0
detailed analysis,0.0022474653,0
high degree,0.002094581,0
high cost,0.002094581,0
earlier version,0.002094578,0
low cost,0.002094576,0
scheduling algorithm,0.0016590323,0
recent work,0.0016590323,0
larger number,0.0016590308,0
CDROM,0.0016590308,0
Cluster Computing,0.0015671581,0
poor performance,0.0015671575,0
large amount,0.0015671575,0
same task,0.0015671558,0
above improvements,0.0013485948,0
Parallel Computing,0.0013485948,0
Figure Illustration,0.0013485948,0
see Section,0.0013485941,0
new algorithm,0.0013485941,0
maximum size,0.0013485921,0
higher priority,0.0013485908,0
Node Figure,0.0011628285,0
useful information,0.0011628285,0
sensor network,0.001162828,0
helpful comments,0.001162828,0
systems November,0.0011628257,0
nearest neighbors,0.0011628252,0
neighbor list,0.0011628252,0
data items,0.0011628241,0
cost model,0.0011628241,0
data distribution,0.0011628241,0
Figure Example,0.0011280859,0
better performance,0.0011280859,0
LRU,0.0011280859,0
data sets,0.0011280838,0
physical page,0.0011280838,0
inner loop,0.0011280838,0
data set,0.0011280838,0
original data,0.0011280838,0
page sizes,0.0011280838,0
wireless sensor,0.0010659827,0
wireless networks,0.0010659827,0
wireless link,0.0010659827,0
wireless links,0.0010659827,0
transmit mode,0.0010659827,0
wireless network,0.0010659827,0
network protocols,0.0010659817,0
