candidate,feature,label
ACM,"0.0,1.0,0.15,-1.7727419137954712,1.516797423362732,0.8993024826049805",0
Access Method,"0.0,1.0,0.65,-0.14456844329833984,-0.44668179750442505,1.201648235321045",0
Accum Dist,"0.0,1.0,0.5,0.31775590777397156,-0.012704058550298214,0.5862376689910889",0
Actual Predicted,"0.0,1.0,0.8,-0.01543436199426651,2.0677084922790527,0.9438071250915527",0
Add Element,"0.0,1.0,0.55,-0.7247577905654907,-2.8867483139038086,3.583421230316162",0
Additional Neighbors,"0.0,1.0,1.0,1.524219274520874,-1.1728370189666748,3.483457088470459",0
Additional data,"0.0,1.0,0.75,4.298460960388184,2.9509034156799316,5.163464546203613",0
Algorithm Input,"0.0,1.0,0.75,1.6415599584579468,5.88624382019043,1.8057124614715576",0
Analysis Cost,"0.0,1.0,0.65,-5.649527072906494,-2.754636764526367,8.529397964477539",0
Analytical Evaluation,"0.0,1.0,1.05,-0.2409929633140564,-0.3586600422859192,0.8700724244117737",0
Aoying Zhou,"0.0,1.0,0.55,-1.3603570461273193,-0.5307598114013672,1.5537364482879639",0
Application Domain,"0.0,1.0,0.9,0.006037354469299316,-0.7661694288253784,1.3874835968017578",0
Applied Multivariate,"0.0,1.0,1.0,-0.0194462388753891,0.13080230355262756,0.5830779671669006",0
Applied multivariate,"0.0,1.0,1.0,-0.0194462388753891,0.13080230355262756,0.5830779671669006",0
Approach Spatial,"0.0,1.0,0.8,6.433387279510498,0.49090856313705444,4.8912835121154785",0
April Shashi,"0.0,1.0,0.6,-1.8096550703048706,0.2991056442260742,2.0175561904907227",0
April Victoria,"0.0,1.0,0.7,-2.067387104034424,3.9478869438171387,1.1585592031478882",0
Army Army,"0.0,1.0,0.45,-0.2215101718902588,0.16058535873889923,0.4425199329853058",0
Army High,"0.0,1.0,0.45,0.3107016384601593,0.012693263590335846,0.6318402886390686",0
Army Research,"0.0,1.0,0.65,1.5719774961471558,-0.43892279267311096,1.5087745189666748",0
Artificial Intelligence,"0.0,1.0,1.15,-0.045080482959747314,0.4063066244125366,0.39246469736099243",0
Associative Searching,"0.0,1.0,1.05,-0.5181935429573059,0.008033066987991333,0.5648219585418701",0
Attribute values,"0.0,1.0,0.8,1.6392292976379395,10.439112663269043,2.7500290870666504",1
Average Traffic,"0.0,1.0,0.75,-5.337864398956299,3.268261432647705,2.603154182434082",0
Average number,"0.0,1.0,0.7,5.91261100769043,1.6439485549926758,3.9871091842651367",0
AvgDist Dev,"0.0,1.0,0.55,0.2833665907382965,-0.18001320958137512,0.20060527324676514",0
AvgDist Set,"0.0,1.0,0.55,0.702667772769928,0.928189754486084,0.3516474962234497",0
BSP,"0.0,1.0,0.15,-0.30358612537384033,0.049747318029403687,0.7366076707839966",0
Basic Tables,"0.0,1.0,0.6,-0.35434454679489136,0.8712760806083679,0.36039361357688904",0
Binary Space,"0.0,1.0,0.6,-0.23638752102851868,5.703760147094727,2.3836781978607178",0
Bound Figure,"0.0,1.0,0.6,6.480792999267578,-0.36020928621292114,4.4394450187683105",0
BoundAverage Traffic,"0.0,1.0,1.0,-9.782572746276855,5.902768611907959,4.754148006439209",0
Buffer Conclusions,"0.0,1.0,0.9,-0.7258251905441284,-1.89674711227417,2.395670175552368",0
Buffer size,"0.0,1.0,0.55,-4.106592655181885,0.9347556829452515,3.7862372398376465",0
Buffering Size,"0.0,1.0,0.7,-3.9683399200439453,3.7840936183929443,1.9984607696533203",0
Buffering strategy,"0.0,1.0,0.9,-1.3747544288635254,1.920297384262085,1.0831665992736816",0
CCAM,"0.0,1.0,0.2,-0.8070048093795776,-0.0334896519780159,0.49256932735443115",1
CELL,"0.0,1.0,0.2,-0.4703092873096466,1.2103294134140015,0.3136816620826721",1
CI,"0.0,1.0,0.1,0.3884953558444977,-0.27898770570755005,0.14868277311325073",1
CRR,"0.0,1.0,0.15,0.024077169597148895,0.348802387714386,-0.12227258086204529",1
CTR,"0.0,1.0,0.15,-1.3157269954681396,3.5974490642547607,0.8003073334693909",0
Cancer Institute,"0.0,1.0,0.8,-0.2457750290632248,0.12295166403055191,0.5653447508811951",0
Candidate Clustering,"0.0,1.0,1.0,-0.3329148292541504,0.252315491437912,0.419301301240921",0
Cell Tree,"0.0,1.0,0.45,-3.459581136703491,6.416224479675293,2.01646089553833",0
Changqing Zhou,"0.0,1.0,0.7,-1.359465479850769,-0.5691256523132324,1.5014153718948364",0
Chawla Pei,"0.0,1.0,0.5,-0.15499168634414673,0.14258189499378204,0.45852699875831604",0
Check Normal,"0.0,1.0,0.6,-1.0782626867294312,0.745368480682373,0.5556531548500061",0
Chen Detecting,"0.0,1.0,0.7,0.2576392889022827,1.732048749923706,0.609890341758728",0
Cities Highway,"0.0,1.0,0.7,-0.455888032913208,0.8109329342842102,0.6045541167259216",0
Cities area,"0.0,1.0,0.55,-0.08774536848068237,0.5955546498298645,0.9940792322158813",0
Cities traffic,"0.0,1.0,0.7,-5.452733039855957,3.60170316696167,2.906641721725464",0
Clustering Methods,"0.0,1.0,0.9,-0.753464937210083,0.6332648992538452,0.42954301834106445",1
