candidate,feature,label
operation Find,"0.0,1.0,0.7,0.9746277332305908,0.06985040754079819,1.0869579315185547",0
Pei Sun,"0.0,1.0,0.35,-0.6441445350646973,0.40092965960502625,0.4440809488296509",0
Total number,"0.0,1.0,0.6,1.0397462844848633,-3.200929641723633,6.317240238189697",0
memory buffers,"0.0,1.0,0.7,-10.1068696975708,-1.5144097805023193,6.419622898101807",0
nondense regions,"0.0,1.0,0.8,-0.43401992321014404,-0.4368126094341278,0.6241171360015869",0
BSP LRB,"0.0,1.0,0.35,-0.30672138929367065,0.16699372231960297,0.5942339897155762",0
significant portion,"0.0,1.0,0.95,-1.6151479482650757,-0.6256319880485535,1.8492071628570557",0
daily basis,"0.0,1.0,0.55,-0.16628380119800568,0.48411595821380615,0.21355140209197998",0
Computation LRB,"0.0,1.0,0.75,-8.385247230529785,-0.7313078045845032,4.252334117889404",0
Outlier Figure,"0.0,1.0,0.7,-3.286163806915283,0.8484690189361572,4.19837760925293",0
connectivity graph,"0.0,1.0,0.9,2.1860432624816895,1.3586246967315674,1.5055536031723022",0
administra tion,"0.0,1.0,0.75,-0.5103167295455933,0.022866010665893555,0.04254235327243805",0
detection queries,"0.0,1.0,0.85,-5.447487831115723,1.0765119791030884,1.6147772073745728",0
detection problem,"0.0,1.0,0.85,-2.6120214462280273,5.275249481201172,3.4172186851501465",0
ramp meter control,"0.0,1.0,0.9,-5.061447620391846,0.8748759627342224,2.156456232070923",0
average number,"0.0,1.0,0.7,0.2071109414100647,-3.534276247024536,6.467772960662842",0
neighbor list,"0.0,1.0,0.65,0.2804586589336395,0.8426021337509155,0.2818892002105713",0
data mining,"0.0,1.0,0.55,3.047952651977539,6.342843055725098,1.6935861110687256",0
useful information,"0.0,1.0,0.9,0.8162651062011719,-1.2224671840667725,3.670274496078491",0
Spatial Statistic,"0.0,1.0,0.85,5.568228721618652,2.44482684135437,3.981687307357788",0
confidence interval,"0.0,1.0,0.95,0.5990038514137268,-3.0692687034606934,4.878951072692871",0
time slot,"0.0,1.0,0.45,3.592247486114502,1.9416742324829102,3.7408435344696045",0
RRB Station,"0.0,1.0,0.55,-3.0330443382263184,-7.400168418884277,11.417279243469238",0
data object,"0.0,1.0,0.55,3.064612627029419,6.561306476593018,1.7746295928955078",1
OPTICSOF Algorithms,"0.0,1.0,0.95,-1.4383208751678467,-0.8152965903282166,1.3223358392715454",0
nodes L,"0.0,1.0,0.35,1.0532987117767334,1.7428293228149414,0.7095644474029541",0
graph structure G,"0.0,1.0,0.85,1.6482009887695312,1.751247763633728,1.0091413259506226",0
shallow depth value,"0.0,1.0,0.95,0.399760365486145,0.729135274887085,0.47907352447509766",0
small subset,"0.0,1.0,0.6,-0.17296922206878662,-0.17458322644233704,0.7568672299385071",0
outliers Properties,"0.0,1.0,0.95,6.98850679397583,6.064882278442383,5.065303802490234",0
CRR,"0.0,1.0,0.15,-0.21466298401355743,-0.06414375454187393,-0.16746088862419128",1
ffl Check,"0.0,1.0,0.45,-0.5369731187820435,-0.17150510847568512,0.24293780326843262",0
different numbers,"0.0,1.0,0.85,-2.141345262527466,3.783965587615967,0.6175463795661926",0
fixed graph distance,"0.0,1.0,1.0,0.7232158780097961,0.7961717247962952,1.1980799436569214",0
spatial data,"0.0,1.0,0.6,8.202823638916016,8.315041542053223,5.709888458251953",1
TR,"0.0,1.0,0.1,-0.3498155176639557,0.07215337455272675,0.5959726572036743",1
Changqing Zhou,"0.0,1.0,0.7,-0.8560255169868469,-0.9523668885231018,1.9194860458374023",0
spatialtemporal neighbors,"0.0,1.0,1.25,1.3838750123977661,3.146056652069092,0.7034509181976318",0
consecutive time slots,"0.0,1.0,1.1,2.3199715614318848,-0.16527630388736725,2.494126558303833",0
