candidate,feature,label
LRB,"0.0,1.0,0.15,0.0,0.0,0.0",1
size page size number,"0.0,1.0,1.05,-0.4059238135814667,2.312807559967041,4.302182674407959",1
traffic detector stations,"0.0,1.0,1.25,-3.4927079677581787,0.26605963706970215,2.2680211067199707",0
IO operations,"0.0,1.0,0.65,-0.04134472459554672,-1.4636054039001465,1.0767009258270264",0
entire algorithm,"0.0,1.0,0.8,4.804679870605469,1.4822336435317993,4.926718711853027",0
nontrivial task,"0.0,1.0,0.75,-1.1322256326675415,6.715928554534912,2.3707242012023926",0
corresponding average volume values,"0.0,1.0,1.75,-1.7228507995605469,3.2547693252563477,2.555269241333008",1
abnormal white line,"0.0,1.0,0.95,-0.5319960713386536,0.51401287317276,0.44262051582336426",0
CTR,"0.0,1.0,0.15,-2.362916946411133,3.1684484481811523,1.0211422443389893",0
Volume Value Number,"0.0,1.0,0.95,-2.7599985599517822,-1.6522102355957031,4.74809455871582",0
different nodes,"0.0,1.0,0.75,0.747494101524353,2.631253242492676,1.3605844974517822",0
autocorrelation Third,"0.0,1.0,1.05,-0.2743804454803467,0.2500326633453369,0.481320858001709",0
representative graph,"0.0,1.0,1.0,1.0552536249160767,0.6109203696250916,1.321441411972046",0
different values,"0.0,1.0,0.8,2.796924352645874,5.196755409240723,3.6865363121032715",0
ROD algorithm,"0.0,1.0,0.65,4.82541036605835,1.4434902667999268,4.83452033996582",0
neighbor nodes,"0.0,1.0,0.7,0.6286923885345459,2.116196632385254,1.1687090396881104",0
various methods,"0.0,1.0,0.75,-0.899922788143158,0.018075495958328247,0.3722359538078308",0
knowledge Spatial data mining,"0.0,1.0,1.45,3.165053367614746,4.3440260887146,4.102865219116211",1
connectivityclustered access method,"0.0,1.0,1.75,-0.1578441560268402,-1.1444934606552124,1.2190768718719482",0
local outliers Advances,"0.0,1.0,1.15,3.5884182453155518,1.3104139566421509,3.4764668941497803",0
Attribute values,"0.0,1.0,0.8,4.752552032470703,8.285767555236816,6.12129020690918",1
data space,"0.0,1.0,0.5,0.16332197189331055,5.596630573272705,3.2815651893615723",0
Contribution Many,"0.0,1.0,0.85,0.8112556338310242,-0.6382384896278381,1.3598742485046387",0
whole day,"0.0,1.0,0.45,-0.2776162624359131,-0.23380620777606964,0.18741369247436523",0
signal processing techniques,"0.0,1.0,1.4,2.571676254272461,0.2642652094364166,2.9750938415527344",0
base distribution,"0.0,1.0,0.85,0.35477617383003235,-3.0695204734802246,5.910720348358154",0
test parameters,"0.0,1.0,0.75,3.486471176147461,-5.091734409332275,6.269389629364014",0
NSF grant,"0.0,1.0,0.45,-8.172260284423828,4.634463310241699,2.7462501525878906",0
several parameters,"0.0,1.0,0.9,0.8477914333343506,-0.2702154517173767,1.1687438488006592",0
outliers Properties,"0.0,1.0,0.95,4.530100345611572,-1.1646296977996826,7.361517906188965",0
data pages,"0.0,1.0,0.5,0.4197017550468445,5.654740333557129,3.0582242012023926",0
sensor network measurements,"0.0,1.0,1.35,-1.6818307638168335,2.1953673362731934,1.1260441541671753",0
transformed space,"0.0,1.0,0.85,-0.990270733833313,-0.024957310408353806,0.4586191177368164",0
node N,"0.0,1.0,0.3,-0.6112229824066162,12.207226753234863,5.234313011169434",0
spatialtemporal neighbors,"0.0,1.0,1.25,0.7013900876045227,2.6680853366851807,1.3157790899276733",0
confidence measure,"0.0,1.0,0.9,-0.26688799262046814,-0.31829267740249634,0.15441739559173584",0
RRB class description LRB eg concept generalization RRB,"0.0,1.0,2.75,-0.550275444984436,0.5258579254150391,0.5575507879257202",1
multidimensional datasets,"0.0,1.0,1.25,-0.17857608199119568,-0.49342042207717896,0.5103320479393005",0
ROD algorithms,"0.0,1.0,0.7,-0.3170357346534729,-0.856077253818512,0.6811890602111816",0
expected total cost,"0.0,1.0,0.95,-0.6289772391319275,4.346123218536377,1.7484019994735718",0
ACM symposium,"0.0,1.0,0.65,-1.412458896636963,0.764072060585022,0.5479159355163574",0
neighborhood cardinality,"0.0,1.0,1.2,0.7560954093933105,-0.3490755558013916,2.0412509441375732",0
Spatial set,"0.0,1.0,0.55,5.065956115722656,2.884273052215576,5.317775726318359",0
spatial data set ffl Check,"0.0,1.0,1.3,2.2256686687469482,3.385611057281494,3.3660788536071777",1
time slot,"0.0,1.0,0.45,2.252880811691284,-0.9858149290084839,3.8391127586364746",0
bad detector Secondly,"0.0,1.0,1.05,0.037739790976047516,-0.639474093914032,0.6562819480895996",0
Army Army Research Laboratory,"0.0,1.0,1.45,0.7684482336044312,-0.7132258415222168,1.2615947723388672",1
Neighborhood Neighborhood Figure,"0.0,1.0,1.6,2.3743879795074463,-2.4494552612304688,3.4708166122436523",0
various locations,"0.0,1.0,0.85,-0.4809834063053131,-0.431079626083374,0.3240974247455597",0
CRR value Figures LRB,"0.0,1.0,1.05,0.42184171080589294,0.35369452834129333,0.5747680068016052",1
page sizes,"0.0,1.0,0.5,-0.4003238081932068,2.255376100540161,0.8912709951400757",0
value table records,"0.0,1.0,0.95,0.6635838150978088,0.23415790498256683,0.8536716103553772",0
Euclidean distance,"0.0,1.0,0.9,-0.39805206656455994,-0.32823315262794495,0.5409810543060303",0
nest loop index join Suppose,"0.0,1.0,1.4,-0.4616760313510895,-0.03995801880955696,0.6431648135185242",1
unsplit edges,"0.0,1.0,0.65,-5.129769325256348,-1.8288867473602295,2.454014301300049",0
underlying spatial graph G,"0.0,1.0,1.3,3.339170455932617,1.4346221685409546,3.2398343086242676",1
Experiment Design,"0.0,1.0,0.85,2.461519718170166,2.520056962966919,2.8452162742614746",0
neighborhood definitions,"0.0,1.0,1.2,0.9696460366249084,-1.0664873123168945,1.732211709022522",0
OPTICSOF,"0.0,1.0,0.4,0.0,0.0,0.0",0
detection procedures,"0.0,1.0,1.0,-5.411653518676758,2.5204501152038574,1.6236668825149536",0
multidimensional space,"0.0,1.0,1.1,-1.1750719547271729,-0.1677519828081131,0.645667552947998",0
local outlier,"0.0,1.0,0.65,-4.740006446838379,2.3440961837768555,2.312697649002075",0
page size Figure,"0.0,1.0,0.8,0.385575532913208,2.7428207397460938,2.9497146606445312",0
detection problem,"0.0,1.0,0.85,-4.533753871917725,6.909064769744873,3.928770065307617",0
Transportation LRB MnDot RRB,"0.0,1.0,1.4,0.3721469044685364,-0.45452678203582764,0.5736199021339417",1
neighborhood relationship R,"0.0,1.0,1.35,0.4021560251712799,0.3363703787326813,1.376944899559021",0
traffic flow information LRB eg volume occupancy RRB,"0.0,1.0,2.6,-3.1358730792999268,1.655134916305542,2.581989049911499",1
different locations,"0.0,1.0,0.95,0.22388693690299988,0.9893375039100647,0.6835367679595947",0
route R Number,"0.0,1.0,0.7,0.21657221019268036,-2.379880666732788,3.6556899547576904",0
Celltree LSB,"0.0,1.0,0.6,0.0,0.0,0.0",0
u L,"0.0,1.0,0.15,0.9261128306388855,-0.8840473890304565,1.2466555833816528",0
node ff neighbors,"0.0,1.0,0.85,1.8787126541137695,3.8724935054779053,3.553011655807495",0
specific spatial location,"0.0,1.0,1.25,3.5013692378997803,1.5250781774520874,3.535020589828491",0
join computations,"0.0,1.0,0.85,-0.03429325297474861,0.08401235938072205,0.24310746788978577",0
bivariate point,"0.0,1.0,0.75,0.3068064749240875,-0.5100623965263367,1.0847723484039307",0
temporal neighbors,"0.0,1.0,0.9,-4.578494071960449,-1.356906771659851,3.4332833290100098",0
CRR LRB,"0.0,1.0,0.35,0.18165692687034607,0.20719590783119202,0.07784007489681244",0
cost models,"0.0,1.0,0.55,-1.407898187637329,6.764492034912109,2.624668836593628",0
detection methods,"0.0,1.0,0.85,-5.766835689544678,2.8281846046447754,1.8827006816864014",0
sample space,"0.0,1.0,0.6,-0.9418141841888428,-0.06856358051300049,0.35331419110298157",0
basic algorithm,"0.0,1.0,0.75,5.08914041519165,1.7491203546524048,5.038168430328369",0
Volume Difference,"0.0,1.0,0.85,-5.571755409240723,2.3874266147613525,1.7545219659805298",0
Spatial Neighborhood Number,"0.0,1.0,1.35,4.446368217468262,-3.0557072162628174,7.448770046234131",0
page size,"0.0,1.0,0.45,-1.0021264553070068,5.8152265548706055,2.177849292755127",1
